,potential,international_reputation,passing,dribbling,movement_reactions,mentality_composure,cm,rb,attack_rate_Low,attack_rate_Medium,Pos_Defender,Pos_Goal-Keeper,Pos_Mid-Fielder,Pos_Not-Played,Pos_Rest,Pos_Substitute,nation_Others,club_new_Others,rating
potential,1.0,0.38284491591238445,0.3334692686890752,0.3284970606238229,0.5120288710529826,0.43349065877024956,0.4613196951764927,0.302503847979121,-0.0432452044664247,-0.1284771030575411,0.035497808552328265,0.04493001179657488,0.09494143807727469,-0.012272614730805887,-0.07066695454735808,-0.09918832322767902,-0.26476198330164474,-0.21713779468968133,0.5674629828879862
international_reputation,0.38284491591238445,1.0,0.24762577194468469,0.19314451618044248,0.4538298381256511,0.40148284894919506,0.3860406189252632,0.2439496147847751,-0.008272876940756931,-0.08361342204749869,0.02941349793902831,0.04255384172159941,0.058969840156993095,-0.009658696089560851,-0.10313964878309584,-0.05552509512173812,-0.12132875402764372,-0.20066659328273706,0.4210073440016957
passing,0.3334692686890752,0.24762577194468469,1.0,0.9185125017752814,0.4683372728683691,0.6813417003373766,0.660622671445799,0.33642681260717616,-0.060278623664672376,-0.283775797448668,0.0495536370032587,-0.3903648965577995,0.35469368757444797,-0.007208238043706428,-0.17443828550981752,-0.06561029493572847,-0.13164259365666317,-0.0759738987924538,0.38461961733859923
dribbling,0.3284970606238229,0.19314451618044248,0.9185125017752814,1.0,0.3934574173133782,0.6185158428635777,0.5112167590978943,0.12451686866990305,-0.1036714516598083,-0.31782895781982934,0.0010876761239545134,-0.42267109279195525,0.29260781932514934,-0.011855492767628649,-0.13380485219865623,-0.04381294265530131,-0.11505568106242732,-0.06982116639627736,0.3149931824369303
movement_reactions,0.5120288710529826,0.4538298381256511,0.4683372728683691,0.3934574173133782,1.0,0.677598377106668,0.6730490194872141,0.4948933767441714,-0.010926838663540911,-0.17063565029786582,0.09929863710338016,0.07270181485425663,0.19702251961056008,0.014688247162282163,-0.2936559358667089,-0.09693986627153177,-0.241219487905434,-0.17792374687349907,0.6694505303180519
mentality_composure,0.43349065877024956,0.40148284894919506,0.6813417003373766,0.6185158428635777,0.677598377106668,1.0,0.612701590105969,0.3734883815745128,0.008238004015848975,-0.23723804495047562,0.11152965285056737,-0.1282589754728791,0.25100493836060916,0.003500433816461818,-0.268760256311441,-0.09560530226779106,-0.20374775114308974,-0.13915397420639875,0.5765196284924303
cm,0.4613196951764927,0.3860406189252632,0.660622671445799,0.5112167590978943,0.6730490194872141,0.612701590105969,1.0,0.588215287277813,-0.15006369924051402,-0.16647952521765927,-0.03235164364632427,0.0006181567807628601,0.35671542753893287,0.00161570817426749,-0.2611359663757488,-0.07803632055416557,-0.2030499069223291,-0.145277448290021,0.5782793688348231
rb,0.302503847979121,0.2439496147847751,0.33642681260717616,0.12451686866990305,0.4948933767441714,0.3734883815745128,0.588215287277813,1.0,0.06797254348496433,-0.0626098424954823,0.3413137652947065,0.0015039839268356017,0.1705229284549984,0.019577683306666517,-0.2310697000583294,-0.09436327685479304,-0.13382887298355858,-0.11356359346916839,0.4209964219893946
attack_rate_Low,-0.0432452044664247,-0.008272876940756931,-0.060278623664672376,-0.1036714516598083,-0.010926838663540911,0.008238004015848975,-0.15006369924051402,0.06797254348496433,1.0,-0.33020469311426986,0.11234960394148391,-0.04352601422050312,-0.041817595994468125,0.0014675761408058001,0.0013036002206230116,-0.009054628764099001,0.007827637350381743,0.001916974758741359,-0.021084415493049263
attack_rate_Medium,-0.1284771030575411,-0.08361342204749869,-0.283775797448668,-0.31782895781982934,-0.17063565029786582,-0.23723804495047562,-0.16647952521765927,-0.0626098424954823,-0.33020469311426986,1.0,-0.05160255230409336,0.1318152501407947,-0.07406919152238672,-0.003738013742576335,0.08112941574125733,0.04728690964202954,0.01855301578600619,0.0342586086318082,-0.1506538517628057
