,count,mean,std,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max,skewness,kurtosis,unique,missing,IQR,OL
age,17770.0,25.193922341024198,4.651957456585872,16.0,18.0,19.0,20.0,21.0,21.0,22.0,23.0,23.0,24.0,25.0,25.0,26.0,27.0,28.0,28.0,29.0,30.0,32.0,34.0,45.0,0.3986604550357769,-0.460135614798614,29,0,7.0,10.5
height_cm,17770.0,181.25329206527857,6.745892013567095,154.0,170.0,172.0,174.0,175.0,176.0,178.0,178.0,180.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,190.0,192.0,205.0,-0.050886700442708266,-0.27363295126471776,51,0,10.0,15.0
weight_kg,17770.0,75.31091727630839,7.0800126404269745,50.0,64.0,66.0,68.0,70.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,83.0,85.0,88.0,110.0,0.2193710573603669,0.08122415185397491,57,0,10.0,15.0
potential,17770.0,71.38294879009567,6.145171167528814,48.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,73.0,74.0,74.0,75.0,77.0,78.0,80.0,82.0,95.0,0.23687704023703318,0.023950087892649297,47,0,8.0,12.0
international_reputation,17770.0,1.1177827799662352,0.4010847356076599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.960282432297909,17.97198030299279,5,0,0.0,0.0
weak_foot,17770.0,2.9464265616207093,0.659352559798252,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,0.143394340010267,0.6200833415202842,5,0,0.0,0.0
skill_moves,17770.0,2.346595385481148,0.7496718857874269,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,0.17279706271122713,-0.05220232469578301,5,0,1.0,1.5
nation_jersey_number,1104.0,12.143115942028986,7.350035165676509,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0,87.0,1.7771631976340627,16.372965113844906,27,16666,12.0,18.0
pace,15784.0,67.81531931069438,11.329318593157147,24.0,47.0,53.0,57.0,59.0,61.0,63.0,65.0,66.0,67.0,69.0,70.0,71.0,73.0,74.0,75.0,77.0,79.0,81.0,85.0,96.0,-0.5483857946249189,0.5541812979812275,71,1986,14.0,21.0
shooting,15784.0,52.248732894069946,14.034645166407246,15.0,27.0,32.0,35.0,38.0,42.0,45.0,47.0,50.0,52.0,54.0,56.0,58.0,60.0,61.0,63.0,65.0,67.0,69.0,73.0,93.0,-0.289249624090169,-0.7569950228416955,78,1986,21.0,31.5
